_id,Vorname,Anzahl,Geschlecht
520,Maksim,5,m
521,Mathias,5,m
522,Matilde,5,w
523,Mattea,5,w
524,Mattia,5,m
525,Medina,5,w
526,Melisa,5,w
527,Mert,5,m
528,Mihajlo,5,m
529,Mihra,5,w
530,Mio,5,m
531,Miray,5,w
532,Nefeli,5,w
533,Nicolás,5,m
534,Nila,5,w
535,Nola,5,w
536,Nura,5,w
537,Patrick,5,m
538,Peter,5,m
539,Philomena,5,w
540,Sam,5,m
541,Selina,5,w
542,Talia,5,w
543,Teodor,5,m
544,Till,5,m
545,Tino,5,m
546,Troi,5,m
547,Vivienne,5,w
548,Willi,5,m
549,Youssef,5,m
550,Zahra,5,w
551,Zoé,5,w
552,Aadhvika,4 oder weniger,w
553,Aadhya,4 oder weniger,w
554,Aadi,4 oder weniger,m
555,Aadishree,4 oder weniger,w
556,Aadith,4 oder weniger,m
557,Aaditri,4 oder weniger,w
558,Aadvik,4 oder weniger,m
559,Aadya,4 oder weniger,w
560,Aadyashri,4 oder weniger,w
561,Aahil,4 oder weniger,m
562,Aaliya,4 oder weniger,w
563,Aaliyah,4 oder weniger,w
564,Aaliyan,4 oder weniger,m
565,Aarav,4 oder weniger,m
566,Aaren,4 oder weniger,m
567,Aarna,4 oder weniger,w
568,Aarvi,4 oder weniger,w
569,Aarya,4 oder weniger,w
570,Aashvi,4 oder weniger,w
571,Aava,4 oder weniger,w
572,Aayra,4 oder weniger,w
573,Abas,4 oder weniger,m
574,Abbas,4 oder weniger,m
575,Abby,4 oder weniger,w
576,Abby-Luna,4 oder weniger,w
577,Abd,4 oder weniger,m
578,Abdalla,4 oder weniger,m
579,Abdimuheymin,4 oder weniger,m
580,Abdirahman,4 oder weniger,m
581,Abdollah,4 oder weniger,m
582,Abdul,4 oder weniger,m
583,Abdulahi,4 oder weniger,m
584,Abdulaziz,4 oder weniger,m
585,Abdulhamid,4 oder weniger,m
586,Abdülhamid,4 oder weniger,m
587,Abdullai,4 oder weniger,m
588,Abdulmahjid,4 oder weniger,w
589,Abdurrahman,4 oder weniger,m
590,Abeer,4 oder weniger,m
591,Abenezer,4 oder weniger,m
592,Abhiram,4 oder weniger,m
593,Abigail,4 oder weniger,w
594,Abiha,4 oder weniger,w
595,Abir,4 oder weniger,w
596,Abubakar,4 oder weniger,m
597,Abylai,4 oder weniger,m
598,Achille,4 oder weniger,m
599,Achilleas,4 oder weniger,m
600,Adanna,4 oder weniger,w
601,Adar,4 oder weniger,w
602,Addie,4 oder weniger,w
603,Adea,4 oder weniger,w
604,Adél,4 oder weniger,w
605,Adele,4 oder weniger,w
606,Adelina,4 oder weniger,w
607,Adeline,4 oder weniger,w
608,Adetoke,4 oder weniger,w
609,Adham,4 oder weniger,m
610,Adhiran,4 oder weniger,m
611,Adi,4 oder weniger,m
612,Adiar,4 oder weniger,m
613,Adile,4 oder weniger,w
614,Adin,4 oder weniger,m
615,Adina,4 oder weniger,w
616,Adis,4 oder weniger,m
617,Adja,4 oder weniger,w
618,Adla,4 oder weniger,w
619,Adna,4 oder weniger,w
620,Adnan,4 oder weniger,m
621,Adni,4 oder weniger,m
622,Adonai,4 oder weniger,m
623,Adonay,4 oder weniger,m
624,Adrián,4 oder weniger,m
625,Adriano,4 oder weniger,m
626,Adriel,4 oder weniger,m
627,Adrien,4 oder weniger,m
628,Adrijan,4 oder weniger,m
629,Advaith,4 oder weniger,m
630,Advik,4 oder weniger,m
631,Aelia,4 oder weniger,w
632,Aëlynn,4 oder weniger,w
633,Aemilia,4 oder weniger,w
634,Aeneas,4 oder weniger,m
635,Afet,4 oder weniger,m
636,Afnaan,4 oder weniger,w
637,Afnane,4 oder weniger,w
638,Afra,4 oder weniger,w
639,Agapi,4 oder weniger,w
640,Agasthya,4 oder weniger,m
641,Agastya,4 oder weniger,m
642,Aggelos,4 oder weniger,m
643,Agnes,4 oder weniger,w
644,Agni,4 oder weniger,m
645,Agustín,4 oder weniger,m
646,Ahmet,4 oder weniger,m
647,Ahniia,4 oder weniger,w
648,Ahsab,4 oder weniger,m
649,Ahu,4 oder weniger,w
650,Ahura,4 oder weniger,m
651,Ahyan,4 oder weniger,m
652,Aïcha,4 oder weniger,w
653,Aid,4 oder weniger,m
654,Aiden,4 oder weniger,m
655,Ailee,4 oder weniger,w
656,Ailey,4 oder weniger,w
657,Aiman,4 oder weniger,m
658,Aimee,4 oder weniger,w
659,Aimo,4 oder weniger,m
660,Aira,4 oder weniger,w
661,Aires,4 oder weniger,m
662,Airis,4 oder weniger,w
663,Aisa,4 oder weniger,w
664,Aiša,4 oder weniger,w
665,Aitor,4 oder weniger,m
666,Aiyan,4 oder weniger,m
667,Aiyla,4 oder weniger,w
668,Aiza,4 oder weniger,w
669,Ajan,4 oder weniger,m
670,Ajas,4 oder weniger,m
671,Ajdin,4 oder weniger,m
672,Ajiri,4 oder weniger,m
673,Ajla,4 oder weniger,w
674,Ajlan,4 oder weniger,m
675,Ajlin,4 oder weniger,w
676,Ajnur,4 oder weniger,m
677,Akari,4 oder weniger,w
678,Akay,4 oder weniger,m
679,Akeem,4 oder weniger,m
680,Akgün,4 oder weniger,m
681,Akil,4 oder weniger,m
682,Akın,4 oder weniger,m
683,Ákos,4 oder weniger,m
684,Akram,4 oder weniger,m
685,Akshvi,4 oder weniger,w
686,Alaa,4 oder weniger,w
687,Alaia,4 oder weniger,w
688,Alaïa,4 oder weniger,w
689,Alaira,4 oder weniger,w
690,Alani,4 oder weniger,w
691,Alanoud,4 oder weniger,w
692,Alara,4 oder weniger,w
